Year,Oil,Gas,Coal,Nuclear Energy,Hydroelectricity,Other Renewable
1970,2291.5,826.7,1467.3,17.7,265.8,5.8
1971,2427.7,884.8,1459.2,24.9,276.4,6.3
1972,2613.9,933.7,1475.7,34.1,288.9,6.8
1973,2818.1,978.0,1519.6,45.9,292.5,7.3
1974,2777.3,1001.9,1520.9,59.6,321.1,7.7
1975,2749.2,1002.4,1550.4,82.4,325.9,7.8
1976,2929.1,1062.0,1606.9,98.1,324.8,8.7
1977,3028.8,1096.9,1654.5,121.2,333.2,9.2
1978,3125.9,1142.9,1673.0,140.1,359.5,9.7
1979,3177.4,1214.3,1750.6,144.7,377.3,10.4
1980,3053.0,1224.3,1793.3,161.0,384.4,11.2
1981,2943.2,1237.8,1818.5,189.2,390.4,12.0
1982,2852.8,1244.5,1838.7,207.4,406.6,13.9
1983,2835.9,1264.5,1895.1,232.9,425.2,15.4
1984,2901.7,1368.2,1977.4,281.6,439.2,17.2
1985,2905.7,1398.4,2055.6,337.0,447.9,17.6
1986,2993.9,1412.0,2079.4,360.9,454.1,19.4
1987,3055.2,1486.6,2162.1,392.6,460.4,20.8
1988,3158.7,1554.9,2226.1,428.0,475.0,21.4
1989,3210.9,1625.4,2248.7,440.2,472.1,24.2
1990,3244.8,1675.5,2222.3,452.7,489.0,27.3
1991,3247.0,1718.4,2197.9,474.4,500.8,28.5
1992,3303.7,1726.3,2190.8,478.0,500.4,30.7
1993,3282.8,1743.3,2199.6,494.4,530.4,31.9
1994,3355.3,1754.5,2212.4,503.7,533.9,33.4
1995,3401.2,1816.1,2224.2,525.5,563.2,35.0
1996,3480.7,1904.0,2280.0,544.6,571.0,36.1
1997,3572.2,1898.7,2282.9,540.9,581.4,39.3
1998,3591.4,1933.4,2265.8,550.2,586.2,41.9
1999,3655.2,1986.9,2278.0,571.2,590.2,45.1
2000,3700.7,2065.3,2356.3,584.0,600.7,49.3
2001,3733.5,2095.2,2394.8,600.5,585.3,52.2
2002,3765.8,2158.9,2488.1,610.1,596.0,58.8
2003,3852.4,2215.8,2706.4,597.7,595.0,63.9
2004,3998.6,2300.3,2893.9,623.9,635.4,73.0
2005,4051.2,2367.8,3105.7,626.6,660.3,82.1
2006,4104.2,2437.5,3265.7,634.4,685.7,92.9
2007,4167.8,2543.4,3451.8,621.5,696.9,107.0
2008,4148.8,2607.2,3500.6,619.5,738.5,123.9
2009,4077.6,2534.6,3447.0,610.8,736.2,143.7
2010,4208.9,2730.8,3605.6,626.2,777.5,170.5
2011,4252.4,2786.8,3778.9,600.0,792.7,203.5
2012,4304.9,2860.8,3794.5,559.5,830.7,238.7
2013,4359.3,2899.0,3865.3,563.8,859.4,282.6
2014,4394.7,2922.3,3862.2,575.0,879.7,320.1
2015,4475.8,2987.3,3765.0,582.8,880.5,368.8
2016,4557.3,3073.2,3706.0,591.2,913.3,417.4
2017,4621.9,3156.0,3731.5,596.4,918.6,486.8
