,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
128,6.4,2.8,5.6,2.1,virginica
64,5.6,2.9,3.6,1.3,versicolor
113,5.7,2.5,5.0,2.0,virginica
62,6.0,2.2,4.0,1.0,versicolor
145,6.7,3.0,5.2,2.3,virginica
44,5.1,3.8,1.9,0.4,setosa
72,6.3,2.5,4.9,1.5,versicolor
126,6.2,2.8,4.8,1.8,virginica
79,5.7,2.6,3.5,1.0,versicolor
55,5.7,2.8,4.5,1.3,versicolor
73,6.1,2.8,4.7,1.2,versicolor
81,5.5,2.4,3.7,1.0,versicolor
26,5.0,3.4,1.6,0.4,setosa
63,6.1,2.9,4.7,1.4,versicolor
141,6.9,3.1,5.1,2.3,virginica
25,5.0,3.0,1.6,0.2,setosa
111,6.4,2.7,5.3,1.9,virginica
24,4.8,3.4,1.9,0.2,setosa
4,5.0,3.6,1.4,0.2,setosa
108,6.7,2.5,5.8,1.8,virginica
116,6.5,3.0,5.5,1.8,virginica
100,6.3,3.3,6.0,2.5,virginica
1,4.9,3.0,1.4,0.2,setosa
132,6.4,2.8,5.6,2.2,virginica
109,7.2,3.6,6.1,2.5,virginica
140,6.7,3.1,5.6,2.4,virginica
88,5.6,3.0,4.1,1.3,versicolor
21,5.1,3.7,1.5,0.4,setosa
19,5.1,3.8,1.5,0.3,setosa
67,5.8,2.7,4.1,1.0,versicolor
34,4.9,3.1,1.5,0.2,setosa
35,5.0,3.2,1.2,0.2,setosa
37,4.9,3.6,1.4,0.1,setosa
12,4.8,3.0,1.4,0.1,setosa
90,5.5,2.6,4.4,1.2,versicolor
38,4.4,3.0,1.3,0.2,setosa
89,5.5,2.5,4.0,1.3,versicolor
106,4.9,2.5,4.5,1.7,virginica
112,6.8,3.0,5.5,2.1,virginica
5,5.4,3.9,1.7,0.4,setosa
84,5.4,3.0,4.5,1.5,versicolor
48,5.3,3.7,1.5,0.2,setosa
135,7.7,3.0,6.1,2.3,virginica
47,4.6,3.2,1.4,0.2,setosa
39,5.1,3.4,1.5,0.2,setosa
61,5.9,3.0,4.2,1.5,versicolor
120,6.9,3.2,5.7,2.3,virginica
46,5.1,3.8,1.6,0.2,setosa
41,4.5,2.3,1.3,0.3,setosa
96,5.7,2.9,4.2,1.3,versicolor
60,5.0,2.0,3.5,1.0,versicolor
28,5.2,3.4,1.4,0.2,setosa
97,6.2,2.9,4.3,1.3,versicolor
87,6.3,2.3,4.4,1.3,versicolor
50,7.0,3.2,4.7,1.4,versicolor
137,6.4,3.1,5.5,1.8,virginica
130,7.4,2.8,6.1,1.9,virginica
110,6.5,3.2,5.1,2.0,virginica
125,7.2,3.2,6.0,1.8,virginica
144,6.7,3.3,5.7,2.5,virginica
68,6.2,2.2,4.5,1.5,versicolor
115,6.4,3.2,5.3,2.3,virginica
146,6.3,2.5,5.0,1.9,virginica
0,5.1,3.5,1.4,0.2,setosa
117,7.7,3.8,6.7,2.2,virginica
83,6.0,2.7,5.1,1.6,versicolor
121,5.6,2.8,4.9,2.0,virginica
122,7.7,2.8,6.7,2.0,virginica
49,5.0,3.3,1.4,0.2,setosa
71,6.1,2.8,4.0,1.3,versicolor
78,6.0,2.9,4.5,1.5,versicolor
45,4.8,3.0,1.4,0.3,setosa
104,6.5,3.0,5.8,2.2,virginica
133,6.3,2.8,5.1,1.5,virginica
139,6.9,3.1,5.4,2.1,virginica
54,6.5,2.8,4.6,1.5,versicolor
59,5.2,2.7,3.9,1.4,versicolor
142,5.8,2.7,5.1,1.9,virginica
6,4.6,3.4,1.4,0.3,setosa
148,6.2,3.4,5.4,2.3,virginica
52,6.9,3.1,4.9,1.5,versicolor
20,5.4,3.4,1.7,0.2,setosa
57,4.9,2.4,3.3,1.0,versicolor
91,6.1,3.0,4.6,1.4,versicolor
22,4.6,3.6,1.0,0.2,setosa
33,5.5,4.2,1.4,0.2,setosa
92,5.8,2.6,4.0,1.2,versicolor
107,7.3,2.9,6.3,1.8,virginica
56,6.3,3.3,4.7,1.6,versicolor
93,5.0,2.3,3.3,1.0,versicolor
98,5.1,2.5,3.0,1.1,versicolor
14,5.8,4.0,1.2,0.2,setosa
31,5.4,3.4,1.5,0.4,setosa
36,5.5,3.5,1.3,0.2,setosa
85,6.0,3.4,4.5,1.6,versicolor
101,5.8,2.7,5.1,1.9,virginica
53,5.5,2.3,4.0,1.3,versicolor
58,6.6,2.9,4.6,1.3,versicolor
129,7.2,3.0,5.8,1.6,virginica
2,4.7,3.2,1.3,0.2,setosa
43,5.0,3.5,1.6,0.6,setosa
94,5.6,2.7,4.2,1.3,versicolor
10,5.4,3.7,1.5,0.2,setosa
23,5.1,3.3,1.7,0.5,setosa
123,6.3,2.7,4.9,1.8,virginica
15,5.7,4.4,1.5,0.4,setosa
8,4.4,2.9,1.4,0.2,setosa
103,6.3,2.9,5.6,1.8,virginica
75,6.6,3.0,4.4,1.4,versicolor
11,4.8,3.4,1.6,0.2,setosa
136,6.3,3.4,5.6,2.4,virginica
27,5.2,3.5,1.5,0.2,setosa
119,6.0,2.2,5.0,1.5,virginica
70,5.9,3.2,4.8,1.8,versicolor
86,6.7,3.1,4.7,1.5,versicolor
134,6.1,2.6,5.6,1.4,virginica
30,4.8,3.1,1.6,0.2,setosa
29,4.7,3.2,1.6,0.2,setosa
9,4.9,3.1,1.5,0.1,setosa
69,5.6,2.5,3.9,1.1,versicolor
105,7.6,3.0,6.6,2.1,virginica
65,6.7,3.1,4.4,1.4,versicolor
80,5.5,2.4,3.8,1.1,versicolor
77,6.7,3.0,5.0,1.7,versicolor
7,5.0,3.4,1.5,0.2,setosa
95,5.7,3.0,4.2,1.2,versicolor
127,6.1,3.0,4.9,1.8,virginica
124,6.7,3.3,5.7,2.1,virginica
17,5.1,3.5,1.4,0.3,setosa
76,6.8,2.8,4.8,1.4,versicolor
138,6.0,3.0,4.8,1.8,virginica
66,5.6,3.0,4.5,1.5,versicolor
16,5.4,3.9,1.3,0.4,setosa
42,4.4,3.2,1.3,0.2,setosa
99,5.7,2.8,4.1,1.3,versicolor
13,4.3,3.0,1.1,0.1,setosa
143,6.8,3.2,5.9,2.3,virginica
149,5.9,3.0,5.1,1.8,virginica
102,7.1,3.0,5.9,2.1,virginica
147,6.5,3.0,5.2,2.0,virginica
74,6.4,2.9,4.3,1.3,versicolor
3,4.6,3.1,1.5,0.2,setosa
114,5.8,2.8,5.1,2.4,virginica
40,5.0,3.5,1.3,0.3,setosa
32,5.2,4.1,1.5,0.1,setosa
118,7.7,2.6,6.9,2.3,virginica
131,7.9,3.8,6.4,2.0,virginica
18,5.7,3.8,1.7,0.3,setosa
51,6.4,3.2,4.5,1.5,versicolor
82,5.8,2.7,3.9,1.2,versicolor
